day,x,y,z
232,-9.251826834001147E23,4.996593789086841E24,-1.1209149789453782E20
233,-9.291705397940801E23,5.018130831281181E24,-1.1257465090270396E20
234,-9.331583961880455E23,5.039667873475521E24,-1.130578039108701E20
235,-9.371462525820108E23,5.061204915669861E24,-1.1354095691903625E20
236,-9.411341089759762E23,5.082741957864201E24,-1.1402410992720239E20
237,-9.451219653699416E23,5.104279000058541E24,-1.1450726293536853E20
238,-9.49109821763907E23,5.125816042252881E24,-1.1499041594353467E20
239,-9.530976781578723E23,5.147353084447222E24,-1.1547356895170082E20
240,-9.570855345518377E23,5.168890126641562E24,-1.1595672195986696E20
241,-9.61073390945803E23,5.190427168835902E24,-1.164398749680331E20
242,-9.650612473397684E23,5.211964211030242E24,-1.1692302797619924E20
243,-9.690491037337338E23,5.233501253224582E24,-1.1740618098436538E20
244,-9.730369601276992E23,5.255038295418922E24,-1.1788933399253153E20
245,-9.770248165216645E23,5.276575337613262E24,-1.1837248700069767E20
246,-9.810126729156299E23,5.298112379807602E24,-1.1885564000886381E20
247,-9.850005293095953E23,5.319649422001942E24,-1.1933879301702995E20
248,-9.889883857035606E23,5.341186464196282E24,-1.198219460251961E20
249,-9.92976242097526E23,5.362723506390622E24,-1.2030509903336224E20
250,-9.969640984914914E23,5.384260548584962E24,-1.2078825204152838E20
251,-1.0009519548854567E24,5.405797590779303E24,-1.2127140504969452E20
252,-1.0049398112794221E24,5.427334632973643E24,-1.2175455805786066E20
253,-1.0089276676733875E24,5.448871675167983E24,-1.222377110660268E20
254,-1.0129155240673529E24,5.470408717362323E24,-1.2272086407419295E20
255,-1.0169033804613182E24,5.491945759556663E24,-1.2320401708235909E20
256,-1.0208912368552836E24,5.513482801751003E24,-1.2368717009052523E20
257,-1.024879093249249E24,5.535019843945343E24,-1.2417032309869137E20
258,-1.0288669496432143E24,5.556556886139683E24,-1.2465347610685751E20
259,-1.0328548060371797E24,5.578093928334023E24,-1.2513662911502365E20
260,-1.036842662431145E24,5.599630970528363E24,-1.256197821231898E20
261,-1.0408305188251104E24,5.621168012722703E24,-1.2610293513135594E20
262,-1.0448183752190758E24,5.642705054917043E24,-1.2658608813952208E20
263,-1.0488062316130412E24,5.664242097111384E24,-1.2706924114768822E20
264,-1.0527940880070065E24,5.685779139305724E24,-1.2755239415585436E20
265,-1.0567819444009719E24,5.707316181500064E24,-1.280355471640205E20
266,-1.0607698007949373E24,5.728853223694404E24,-1.2851870017218665E20
267,-1.0647576571889026E24,5.750390265888744E24,-1.2900185318035279E20
268,-1.068745513582868E24,5.771927308083084E24,-1.2948500618851893E20
269,-1.0727333699768334E24,5.793464350277424E24,-1.2996815919668507E20
270,-1.0767212263707987E24,5.815001392471764E24,-1.3045131220485122E20
271,-1.0807090827647641E24,5.836538434666104E24,-1.3093446521301736E20
272,-1.0846969391587295E24,5.858075476860444E24,-1.314176182211835E20
273,-1.0886847955526949E24,5.879612519054784E24,-1.3190077122934964E20
274,-1.0926726519466602E24,5.901149561249124E24,-1.3238392423751578E20
275,-1.0966605083406256E24,5.922686603443465E24,-1.3286707724568193E20
276,-1.100648364734591E24,5.944223645637805E24,-1.3335023025384807E20
277,-1.1046362211285563E24,5.965760687832145E24,-1.3383338326201421E20
278,-1.1086240775225217E24,5.987297730026485E24,-1.3431653627018035E20
279,-1.112611933916487E24,6.008834772220825E24,-1.347996892783465E20
280,-1.1165997903104524E24,6.030371814415165E24,-1.3528284228651264E20
